Sample	LA_Major_Clade	LA_Major_Clade2	sample_type	treatment	Animal	LA_AnimalID	liver_abscesses	LA_type	multiple_LAs	body_location	matrix	specific_body_loc	animal_body_location	abscess_location	trt_body_location	trt_specific_body_loc	trt_LA_specific_location	trt_LAtype_location	trt_LAtype_specifci_loc
GN01_LIfl		no LAs	sample	control	GN01		no			large intestine	lumen	large intestine lumen	GN01 large intestine lumen	no large intestine lumen	control large intestine	control large intestine lumen	control no large intestine lumen	control  large intestine	control  large intestine lumen
GN01_LIsw		no LAs	sample	control	GN01		no			large intestine	epithelium	large intestine epithelium	GN01 large intestine epithelium	no large intestine epithelium	control large intestine	control large intestine epithelium	control no large intestine epithelium	control  large intestine	control  large intestine epithelium
GN02_LIfl		no LAs	sample	control	GN02		no			large intestine	lumen	large intestine lumen	GN02 large intestine lumen	no large intestine lumen	control large intestine	control large intestine lumen	control no large intestine lumen	control  large intestine	control  large intestine lumen
GN02_LIsw		no LAs	sample	control	GN02		no			large intestine	epithelium	large intestine epithelium	GN02 large intestine epithelium	no large intestine epithelium	control large intestine	control large intestine epithelium	control no large intestine epithelium	control  large intestine	control  large intestine epithelium
GN03_LIfl		no LAs	sample	control	GN03		no			large intestine	lumen	large intestine lumen	GN03 large intestine lumen	no large intestine lumen	control large intestine	control large intestine lumen	control no large intestine lumen	control  large intestine	control  large intestine lumen
GN03_LIsw		no LAs	sample	control	GN03		no			large intestine	epithelium	large intestine epithelium	GN03 large intestine epithelium	no large intestine epithelium	control large intestine	control large intestine epithelium	control no large intestine epithelium	control  large intestine	control  large intestine epithelium
GN06_LIfl		no LAs	sample	control	GN06		no			large intestine	lumen	large intestine lumen	GN06 large intestine lumen	no large intestine lumen	control large intestine	control large intestine lumen	control no large intestine lumen	control  large intestine	control  large intestine lumen
GN06_LIsw		no LAs	sample	control	GN06		no			large intestine	epithelium	large intestine epithelium	GN06 large intestine epithelium	no large intestine epithelium	control large intestine	control large intestine epithelium	control no large intestine epithelium	control  large intestine	control  large intestine epithelium
GN07_LIfl		no LAs	sample	control	GN07		no			large intestine	lumen	large intestine lumen	GN07 large intestine lumen	no large intestine lumen	control large intestine	control large intestine lumen	control no large intestine lumen	control  large intestine	control  large intestine lumen
GN07_LIsw		no LAs	sample	control	GN07		no			large intestine	epithelium	large intestine epithelium	GN07 large intestine epithelium	no large intestine epithelium	control large intestine	control large intestine epithelium	control no large intestine epithelium	control  large intestine	control  large intestine epithelium
GN08_LIfl		no LAs	sample	control	GN08		no			large intestine	lumen	large intestine lumen	GN08 large intestine lumen	no large intestine lumen	control large intestine	control large intestine lumen	control no large intestine lumen	control  large intestine	control  large intestine lumen
GN08_LIsw		no LAs	sample	control	GN08		no			large intestine	epithelium	large intestine epithelium	GN08 large intestine epithelium	no large intestine epithelium	control large intestine	control large intestine epithelium	control no large intestine epithelium	control  large intestine	control  large intestine epithelium
GN09_LIfl		no LAs	sample	control	GN09		no			large intestine	lumen	large intestine lumen	GN09 large intestine lumen	no large intestine lumen	control large intestine	control large intestine lumen	control no large intestine lumen	control  large intestine	control  large intestine lumen
GN09_LIsw		no LAs	sample	control	GN09		no			large intestine	epithelium	large intestine epithelium	GN09 large intestine epithelium	no large intestine epithelium	control large intestine	control large intestine epithelium	control no large intestine epithelium	control  large intestine	control  large intestine epithelium
GN10_LIfl		no LAs	sample	control	GN10		no			large intestine	lumen	large intestine lumen	GN10 large intestine lumen	no large intestine lumen	control large intestine	control large intestine lumen	control no large intestine lumen	control  large intestine	control  large intestine lumen
GN10_LIsw		no LAs	sample	control	GN10		no			large intestine	epithelium	large intestine epithelium	GN10 large intestine epithelium	no large intestine epithelium	control large intestine	control large intestine epithelium	control no large intestine epithelium	control  large intestine	control  large intestine epithelium
GY01_LIfl	Bact-1	Bact-1	sample	control	GY01		yes	Bact		large intestine	lumen	large intestine lumen	GY01 large intestine lumen	yes large intestine lumen	control large intestine	control large intestine lumen	control yes large intestine lumen	control Bact large intestine	control Bact large intestine lumen
GY01_LIsw	Bact-1	Bact-1	sample	control	GY01		yes	Bact		large intestine	epithelium	large intestine epithelium	GY01 large intestine epithelium	yes large intestine epithelium	control large intestine	control large intestine epithelium	control yes large intestine epithelium	control Bact large intestine	control Bact large intestine epithelium
GY02_LIfl	Bact-1	Bact-1	sample	control	GY02		yes	Bact		large intestine	lumen	large intestine lumen	GY02 large intestine lumen	yes large intestine lumen	control large intestine	control large intestine lumen	control yes large intestine lumen	control Bact large intestine	control Bact large intestine lumen
GY02_LIsw	Bact-1	Bact-1	sample	control	GY02		yes	Bact		large intestine	epithelium	large intestine epithelium	GY02 large intestine epithelium	yes large intestine epithelium	control large intestine	control large intestine epithelium	control yes large intestine epithelium	control Bact large intestine	control Bact large intestine epithelium
GY04_LIfl	Bact-1	Bact-1	sample	control	GY04		yes	Bact		large intestine	lumen	large intestine lumen	GY04 large intestine lumen	yes large intestine lumen	control large intestine	control large intestine lumen	control yes large intestine lumen	control Bact large intestine	control Bact large intestine lumen
GY04_LIsw	Bact-1	Bact-1	sample	control	GY04		yes	Bact		large intestine	epithelium	large intestine epithelium	GY04 large intestine epithelium	yes large intestine epithelium	control large intestine	control large intestine epithelium	control yes large intestine epithelium	control Bact large intestine	control Bact large intestine epithelium
GY05_LIfl	Bact-1	Bact-1	sample	control	GY05		yes	Bact		large intestine	lumen	large intestine lumen	GY05 large intestine lumen	yes large intestine lumen	control large intestine	control large intestine lumen	control yes large intestine lumen	control Bact large intestine	control Bact large intestine lumen
GY05_LIsw	Bact-1	Bact-1	sample	control	GY05		yes	Bact		large intestine	epithelium	large intestine epithelium	GY05 large intestine epithelium	yes large intestine epithelium	control large intestine	control large intestine epithelium	control yes large intestine epithelium	control Bact large intestine	control Bact large intestine epithelium
GY06_LIfl	Fuso	Fuso	sample	control	GY06		yes	Fuso		large intestine	lumen	large intestine lumen	GY06 large intestine lumen	yes large intestine lumen	control large intestine	control large intestine lumen	control yes large intestine lumen	control Fuso large intestine	control Fuso large intestine lumen
GY06_LIsw	Fuso	Fuso	sample	control	GY06		yes	Fuso		large intestine	epithelium	large intestine epithelium	GY06 large intestine epithelium	yes large intestine epithelium	control large intestine	control large intestine epithelium	control yes large intestine epithelium	control Fuso large intestine	control Fuso large intestine epithelium
GY07_LIfl	Bact-2	Bact-2	sample	control	GY07		yes	Bact		large intestine	lumen	large intestine lumen	GY07 large intestine lumen	yes large intestine lumen	control large intestine	control large intestine lumen	control yes large intestine lumen	control Bact large intestine	control Bact large intestine lumen
GY07_LIsw	Bact-2	Bact-2	sample	control	GY07		yes	Bact		large intestine	epithelium	large intestine epithelium	GY07 large intestine epithelium	yes large intestine epithelium	control large intestine	control large intestine epithelium	control yes large intestine epithelium	control Bact large intestine	control Bact large intestine epithelium
GY08_LIfl	Bact-2	Bact-2	sample	control	GY08		yes	Bact		large intestine	lumen	large intestine lumen	GY08 large intestine lumen	yes large intestine lumen	control large intestine	control large intestine lumen	control yes large intestine lumen	control Bact large intestine	control Bact large intestine lumen
GY08_LIsw	Bact-2	Bact-2	sample	control	GY08		yes	Bact		large intestine	epithelium	large intestine epithelium	GY08 large intestine epithelium	yes large intestine epithelium	control large intestine	control large intestine epithelium	control yes large intestine epithelium	control Bact large intestine	control Bact large intestine epithelium
GY09_LIfl	Bact-1	Bact-1	sample	control	GY09		yes	Bact		large intestine	lumen	large intestine lumen	GY09 large intestine lumen	yes large intestine lumen	control large intestine	control large intestine lumen	control yes large intestine lumen	control Bact large intestine	control Bact large intestine lumen
